"Source:","/home/alejopm/Documents/zenite/MSWI19/pcb/mswi/mswi.sch"
"Date:","Wed 11 May 2022 10:47:42 AM -03"
"Tool:","Eeschema (6.0.5)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","163"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Model","Mouser","Voltage"
"","","BZ301","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~","","",""
"","","C201","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C202","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C203","22pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C204","22pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C205","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C301","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C302","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C303","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C304","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C305","22pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C306","22pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C307","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C308","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C401","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C402","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C403","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C404","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C405","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C406","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C407","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C408","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C409","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C410","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C601","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C602","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C603","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C604","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C605","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","C606","10uF","mswi-rescue:CP1_Small-Device","Capacitor_Tantalum_SMD:CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder","","","",""
"","","D201","pesd1can","mswi-rescue:D_TVS_x2_AAC-Device","Package_TO_SOT_SMD:SOT-23_Handsoldering","https://assets.nexperia.com/documents/data-sheet/PESD1CAN.pdf","","",""
"","","D301","LL4148","Diode:LL4148","Diode_SMD:D_MiniMELF_Handsoldering","http://www.vishay.com/docs/85557/ll4148.pdf","","",""
"","","D302","LED_RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","D303","LED_RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","D304","LED_RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","D305","LED_RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","D306","LED_RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","D401","LED_RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","D402","LED_RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","D403","LED_RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","D404","LED_RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","D405","LED_RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","D406","LED_RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","D407","LED_RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","D408","LED_RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","D409","LED_RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","D410","LED_RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","D601","MMSZ5240BT1","Device:D_Zener_Small","Diode_SMD:D_SOD-123","~","","","10V"
"","","D602","400W 24VDC","Device:D_TVS","Diode_SMD:D_SMA","https://www.mouser.com/datasheet/2/445/824501241-952945.pdf","","https://br.mouser.com/ProductDetail/Wurth-Elektronik/824501241?qs=%2Fha2pyFadujZKBgF5S1ldkLPpipTn8KXCRHX4IsQDUlguH4XSGuxlw%3D%3D",""
"","","F601","500mA","Device:Fuse_Small","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.mouser.com/datasheet/2/643/0ZCJ_Nov2016-1132002.pdf","0ZCJ0050AF2E","https://br.mouser.com/ProductDetail/Bel-Fuse/0ZCJ0050AF2E?qs=%2Fha2pyFadugaoNql5zaJPtCzxaRCuZne0%252BGltuyizoH09DOBIA3TDQ%3D%3D",""
"","","J301","ISP","Connector_Generic:Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","",""
"","","J302","USART","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","",""
"","","J303","I2C","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","",""
"","","J501","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~","","",""
"","","L301","Bead","Device:L_Small","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","Q301","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q401","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q402","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q403","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q404","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q405","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q406","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q407","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q408","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q409","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q410","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q411","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q412","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q413","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q414","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q415","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q416","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q417","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q418","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q419","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q420","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q601","si2308cds","Device:Q_NMOS_GSD","Package_TO_SOT_SMD:SOT-23","~","","",""
"","","R201","120","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R202","4k7","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R203","10k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R301","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R302","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R303","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R304","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R305","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R306","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R307","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R308","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R309","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R310","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R311","10k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R312","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R313","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R314","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R315","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R316","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R317","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R318","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R319","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R320","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R401","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R402","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R403","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R404","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R405","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R406","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
